title,authors,affiliations,citedby,publisher,Year
"Natural SARS-CoV-2 infection in dogs: Determination of viral loads, distributions, localizations, and pathology",Piewbang C.,Chulalongkorn University (Thailand),0,Elsevier B.V.,2024
Some applications of eigenvalues of unitary Cayley graphs of matrix rings over finite fields,Rattanakangwanwong J.,Chulalongkorn University (Thailand),0,Taylor and Francis Ltd.,2024
Pentanucleotide Repeat Insertions in RAI1 Cause Benign Adult Familial Myoclonic Epilepsy Type 8,Yeetong P.,Chulalongkorn University (Thailand),4,John Wiley and Sons Inc,2024
CiRA-Core: The Connector for Developer Teachers and User Teachers to Artificial Intelligence,Jomtarak R.,Suan Dusit University (Thailand),2,Springer Science and Business Media Deutschland GmbH,2024
Dual-Atomic Porphyry Molecular Systems as Efficient Electrocatalysts for N<inf>2</inf> Reduction Reaction: a Theoretical Investigation,Kuma A.,"GLA University, Mathura (India)",4,Springer,2024
"Comprehensive immunoprofiling of neurodevelopmental disorders suggests three distinct classes based on increased neurogenesis, Th-1 polarization or IL-1 signaling",Sreenivas N.,National Institute of Mental Health and Neuro Sciences (India),4,Academic Press Inc.,2024
Formic acid as a sacrificial agent for byproduct suppression in glucose dehydration to 5-hydroxymethylfurfural using NaY zeolite catalyst,Boonyoung P.,Thailand National Nanotechnology Center (Thailand),4,Elsevier Ltd,2024
Two-stage reaction rates in transesterification of palm oil with methanol catalysed by anion-exchange resin with tetrahydrofuran as a co-solvent,Juntuma A.,Chulalongkorn University (Thailand),0,Elsevier B.V.,2024
Tooth microwear pattern variation in karst and non-karst peninsular Southeast Asian murine rodents,Sripho S.,Chulalongkorn University (Thailand),0,Institute for Ionics,2024
Severe vitamin D deficiency increases the risk of severe cutaneous adverse reactions,Pholmoo N.,"Faculty of Medicine, Chulalongkorn University (Thailand)",0,John Wiley and Sons Inc,2024
Efficacy of multi-hole self-expandable metal stent compared to fully covered and uncovered self-expandable metal stents in patients with unresectable malignant distal biliary obstruction: a propensity analysis,Kulpatcharapong S.,King Chulalongkorn Memorial Hospital (Thailand),2,Springer,2024
"Biodegradable active coating from chitosan/astaxanthin crosslinked with genipin to improve water resistance, moisture and oxygen barrier and mechanical properties of Kraft paper",Inthamat P.,Chulalongkorn University (Thailand),8,Elsevier B.V.,2024
Beyond skin-deep: Triple roles of salesperson attractiveness and consumer bargaining styles,Wongkitrungrueng A.,Mahidol University (Thailand),2,Taylor and Francis Ltd.,2024
Developing and Validating Thai Sexual Orientation Microaggression and Microaffirmation Scales,Yodlorchai R.,Chulalongkorn University (Thailand),2,Routledge,2024
Exploiting the ferroaddiction of pancreatic cancer cells using Fe-doped nanoparticles,Lomphithak T.,Chulalongkorn University (Thailand); Karolinska Institutet (Sweden),1,Elsevier Inc.,2024
SARS-CoV-2 infection associated with antineutrophil cytoplasmic antibody (ANCA)-associated glomerulonephritis (ANCA-GN): a systematic review and two case reports,Banjongjit A.,Vichaiyut Hospital (Thailand),5,Springer Science and Business Media Deutschland GmbH,2024
Current applications of solid lipid nanoparticles and nanostructured lipid carriers as vehicles in oral delivery systems for antioxidant nutraceuticals: A review,Gunawan M.,Chulalongkorn University (Thailand),8,Elsevier B.V.,2024
Converting coconut meal into biothermoplastics for industrial applications,Reddy N.,Jyothy Institute of Technology (India),1,John Wiley and Sons Ltd,2024
Biofuel upgrading via catalytic deoxygenation in trickle bed reactor: Crucial issue in selection of pressure regulator type,Pongsiriyakul K.,Silpakorn University (Thailand),1,Elsevier Ltd,2024
Factors affecting birth weight and stillbirth in sows housed in a tropical environment,Adi Y.K.,Universitas Gadjah Mada (Indonesia); Chulalongkorn University (Thailand),5,John Wiley and Sons Inc,2024
Severe iron overload cardiomyopathy manifested as acute myopericarditis: A case report,Kosum P.,"Naresuan University (Thailand); Faculty of Medicine, Chulalongkorn University (Thailand)",0,Elsevier Inc.,2024
Anti Perkinsus olseni Monoclonal Antibody Generation Using Hypnospores as Antigens,Kaewsalabnil S.,Chulalongkorn University (Thailand),0,King Mongkut's Institute of Technology Ladkrabang,2024
The Diophantine equation a<sup>x</sup> ± a<sup>y</sup> = z<sup>n</sup> when a is any nonnegative integer,Laipaporn K.,Walailak University (Thailand),0,International Scientific Research Publications,2024
Crosslinking of Epoxidized Natural Rubber with Borax for Self-Healing and Self-Repairing Properties: pH Dependence,Chantaramanee T.,Chulalongkorn University (Thailand),0,John Wiley and Sons Inc,2024
Active learning-based random forest algorithm used for soil texture classification mapping in Central Vietnam,Ngu N.H.,"University of Agriculture and Forestry, Hue University (Viet Nam)",7,Elsevier B.V.,2024
A combination of structure-based virtual screening and experimental strategies to identify the potency of caffeic acid ester derivatives as SARS-CoV-2 3CL<sup>pro</sup> inhibitor from an in-house database,Pojtanadithee P.,Chulalongkorn University (Thailand),2,Elsevier B.V.,2024
Shear strength prediction for RC beams without shear reinforcement by neural network incorporated with mechanical interpretations,Prayoonwet W.,Waseda University (Japan),4,Elsevier Ltd,2024
Facile synthesis of NiAl-LDH/Ag/g-C<inf>3</inf>N<inf>4</inf> ternary composite for photocatalytic degradation of methylene blue,Usman M.,Ghulam Ishaq Khan Institute of Engineering Sciences and Technology (Pakistan),7,Taylor and Francis Ltd.,2024
Chemical Composition of Organic Carbon in Tropical Soils Under Agricultural Cultivation and Peat-Swamp Forest,Tantarawongsa P.,China Agricultural University (China),0,Taylor and Francis Ltd.,2024
A novel state-of-health notion and its use for battery aging monitoring of zinc-air batteries,Lao-atiman W.,Chulalongkorn University (Thailand),0,Elsevier Ltd,2024
"Molecular phylogeny of Vincetoxicum (Apocynaceae, Asclepiadoideae) from Thailand and integrative taxonomy corroborating a new cryptic species within Vincetoxicum kerrii",Kidyoo A.,Chulalongkorn University (Thailand),2,Springer,2024
Seasonal variations of metals and metalloids in atmospheric particulate matter (PM2.5) in the urban megacity Hanoi,Chifflet S.,Institut Méditerranéen d'Océanologie (France),2,Elsevier B.V.,2024
A System for Evacuation Route Plan Based on the Nature of Terrain and Dynamic Nature of Construction,Nyimin T.,Chulalongkorn University (Thailand),0,Springer Science and Business Media Deutschland GmbH,2024
Comparison of Embodied Carbon on Residential Building Components Between House and Apartment Using BIM,Phittayakorn T.,Chulalongkorn University (Thailand),1,Springer Science and Business Media Deutschland GmbH,2024
3D Cement Printing: DFMA Guideline of Patterned Load-Bearing Walls for Small Residential Units,Sadakorn W.,Chulalongkorn University (Thailand),3,Springer Science and Business Media Deutschland GmbH,2024
Development of System for Detecting Railway Surface Defects by Using Deep Learning Technique,Peansupap V.,Chulalongkorn University (Thailand),0,Springer Science and Business Media Deutschland GmbH,2024
An Analytical Network Process (ANP) Model for Choosing Optimal Public–Private Partnership (PPP) Contract Types for Infrastructure Projects,Zaw S.L.Y.,Chulalongkorn University (Thailand),0,Springer Science and Business Media Deutschland GmbH,2024
Effects of Wall Angle between Small Strip Areas by Using Point Cloud Data,Peansupap V.,Chulalongkorn University (Thailand),0,Springer Science and Business Media Deutschland GmbH,2024
Development of a System for Measuring Surface Slope with Point Cloud Data,Peansupap V.,Chulalongkorn University (Thailand),1,Springer Science and Business Media Deutschland GmbH,2024
Application of Augmented Reality for Checking Scaffolding Installation in Maintenance Process,Peansupap V.,Chulalongkorn University (Thailand),0,Springer Science and Business Media Deutschland GmbH,2024
Molecular assay for detecting MS-H vaccine strain and immune response mechanisms in chickens receiving one or two doses of live MS-H vaccine,Limpavithayakul K.,Chulalongkorn University (Thailand),0,Taylor and Francis Ltd.,2024
"A multi-proxy reconstruction of the late Holocene vegetation dynamics in Krabi mangroves, Thailand Andaman Sea",Punwong P.,"Faculty of Environment and Resource Studies, Mahidol University (Thailand); University of York (United Kingdom)",2,Elsevier Ltd,2024
"Paramecium (Oligohymenophorea, Ciliophora) diversity in Thailand sheds light on the genus biogeography and reveals new phylogenetic lineages",Melekhin M.,Zoological Institute of the Russian Academy of Sciences (Russian Federation),0,John Wiley and Sons Inc,2024
A dual action electrochemical molecularly imprinted aptasensor for ultra-trace detection of carbendazim,Khosropour H.,Chulalongkorn University (Thailand),9,Elsevier Ltd,2024
Frenolicins H and I from the caterpillar-associated Streptomyces sp. TBRC17107,Supong K.,Rajamangala University of Technology Tawan-ok (Thailand),0,Taylor and Francis Ltd.,2024
The characterization and correlation between the phenotypic and genotypic resistance of Campylobacter spp. isolates from commercial broilers and native chickens in the south of Thailand,Phu D.H.,"Nong Lam University, Ho Chi Minh City (Viet Nam); Walailak University (Thailand)",1,Taylor and Francis Ltd.,2024
Performance assessment of continuously operating reference stations using the deemed rover analysis approach with NRTK GNSS technique in Thailand,Dumrongchai P.,Chiang Mai University (Thailand),0,Taylor and Francis Ltd.,2024
"Knowledge and performance on diabetes control among primary health workers: A baseline survey of quasi experimental study in Naypyitaw, Myanmar",Thar K.,Chulalongkorn University (Thailand),0,"College of Public Health Sciences, Chulalongkorn University",2024
How Can the PtPd-Based High-Entropy Alloy Triumphs Conventional Twc Catalyst During the NO Reduction? A Density Functional Theory Study,Wangphon C.,Chulalongkorn University (Thailand),0,John Wiley and Sons Inc,2024
Smartphone-enabled 3D origami-fluidic paper-based electrochemical detection of myeloperoxidase activity for assessing wound infection,Permpoka K.,Chulalongkorn University (Thailand),7,Elsevier B.V.,2024
"Heterochrony and the evolution of the longjaw mudsucker (Gobiidae, Teleostei)",Milan J.,Marine Biology Research Division (United States),0,John Wiley and Sons Inc,2024
"Histological structure of the digestive tract, liver, and pancreas of Ambassis nalua (Hamilton, 1822) with ultrastructural details of the gastric gland",Sukkhee N.,Chulalongkorn University (Thailand),0,John Wiley and Sons Inc,2024
Sludge floc characteristics and microbial community in high-rate activated sludge and high-rate membrane bioreactor for organic recovery,Homyok P.,Chulalongkorn University (Thailand),8,Elsevier B.V.,2024
IFN-γ ELISpot-enabled machine learning for culprit drug identification in nonimmediate drug hypersensitivity,Chongpison Y.,"Faculty of Medicine, Chulalongkorn University (Thailand)",5,Elsevier Inc.,2024
From a sustainable poly(benzoxazine-co-chitosan) to an ultrahigh-surface-area porous carbon electrode with a nano-engineered graphitic framework for a supercapacitor,Seneesrisakul K.,Walailak University (Thailand),3,Elsevier Ltd,2024
Clinical determinants for State–Trait Anxiety Inventory of the parents of children with respiratory problems,Boonjindasup W.,"Menzies School of Health Research (Australia); Queensland University of Technology (Australia); Faculty of Medicine, Chulalongkorn University (Thailand)",0,John Wiley and Sons Inc,2024
Perioperative Glycemic Management in Cardiac Surgery: A Narrative Review,Thongsuk Y.,King Chulalongkorn Memorial Hospital (Thailand); National Heart Centre Singapore (Singapore),3,W.B. Saunders,2024
Development and validation of the Mindfulness Insight Scale,Jarukasemthawee S.,The University of Queensland (Australia); Chulalongkorn University (Thailand),0,Elsevier Ltd,2024
Regional Differences in Clinical Presentation and Prognosis of Patients With Post–Sustained Virologic Response Hepatocellular Carcinoma,Toyoda H.,Ogaki Municipal Hospital (Japan),3,W.B. Saunders,2024
Four new alkylamides from the fruits of Piper retrofractum and antityrosinase evaluation,Yodsawad T.,Chulalongkorn University (Thailand),2,Taylor and Francis Ltd.,2024
Intraluminal catheter colonisation: A clue for establishing the microbiologic diagnosis of peritoneal dialysis-related fungal peritonitis,Thammavaranucupt K.,"Faculty of Medicine Ramathibodi Hospital, Mahidol University (Thailand)",0,SAGE Publications Inc.,2024
Phylogeny of the Braconinae (Hymenoptera: Braconidae): A new tribal order!,Quicke D.L.J.,Chulalongkorn University (Thailand),5,John Wiley and Sons Inc,2024
Reconsidering the Role of Frozen Section in Sentinel Lymph Node Biopsy for Mastectomy Patients,Vongsaisuwon M.,"Faculty of Medicine, Chulalongkorn University (Thailand)",0,Academic Press Inc.,2024
Usability and feasibility of PreventS-MD web app for stroke prevention,Feigin V.L.,Auckland University of Technology (New Zealand),4,SAGE Publications Inc.,2024
Molecular binding of different classes of organophosphates to methyl parathion hydrolase from Ochrobactrum species,Bhat N.,Chulalongkorn University (Thailand),1,John Wiley and Sons Inc,2024
Impact of pectin edible coating extracted from cacao shell powder on postharvest quality attributes of tomato (Lycopersicon esculentum Mill.) fruit during storage,Pholsin R.,Chulalongkorn University (Thailand),16,Elsevier Ltd,2024
A novel PDMS-based digital magnetofluidic platform for lab-on-a-chip applications,Ngernpradab P.,Chulalongkorn University (Thailand),3,Elsevier B.V.,2024
"Corporate governance, policies, and outcomes: The appointment of military connected boards and sustainability",Jaroenjitrkam A.,Thammasat University (Thailand),2,John Wiley and Sons Ltd,2024
Iontophoretically controlled insulin delivery via water-soluble conductive polymer PANI:PSS and thermoplastic polyurethane matrix,Morarad R.,Chulalongkorn University (Thailand),4,Springer,2024
An integrative computational approach for the identification of dual inhibitors of isocitrate dehydrogenase 1 and 2 from phytocompounds of Phyllantus amarus,Bello R.O.,"Federal University of Technology, Akure (Nigeria)",1,Taylor and Francis Ltd.,2024
Assessing the spatial impact of educational attainment on poverty reduction in Thailand,Tipayalai K.,Chulalongkorn University (Thailand),2,Routledge,2024
Symptom-led staging for semantic and non-fluent/agrammatic variants of primary progressive aphasia,Hardy C.J.D.,UCL Queen Square Institute of Neurology (United Kingdom),16,John Wiley and Sons Inc,2024
Simple first-order shear deformation theory for free vibration of FGP-GPLRC spherical shell segments,Nguyen V.L.,Hanoi University of Civil Engineering (Viet Nam); Chulalongkorn University (Thailand),7,Taylor and Francis Ltd.,2024
What are the priority quality indicators for colonoscopy in real-world clinical practice?,Tiankanon K.,"King Chulalongkorn Memorial Hospital (Thailand); Faculty of Medicine, Chulalongkorn University (Thailand)",3,John Wiley and Sons Inc,2024
A Systematic Survey on Implementation of Fuzzy Regression Models for Real Life Applications,Khan M.,Lovely Professional University (India),2,Springer Science and Business Media B.V.,2024
Simulation using representative data selection for transboundary radiation effect evaluation by Nuclear Accident Consequence Analysis Code (NACAC),Khunsrimek N.,Chulalongkorn University (Thailand),0,Taylor and Francis Ltd.,2024
Performance of different machine learning techniques in predicting the flexural capacity of concrete beams reinforced with FRP rods,Ngamkhanong C.,Chulalongkorn University (Thailand),2,Institute for Ionics,2024
GNSS rover receivers’ horizontal positioning accuracy assessments based on NRTK-VRS surveying,Charoenkalunyuta T.,Chulalongkorn University (Thailand),1,Taylor and Francis Ltd.,2024
Pharmacokinetic disposition of marbofloxacin after intramuscular administration in estuarine crocodiles (Crocodylus porosus),Yalong M.,Kasetsart University (Thailand),0,John Wiley and Sons Inc,2024
Contribution of phenolics to the antioxidant potential of propolis from Tetragonula laeviceps and Tetragonula pegdeni and its correlation to the dominant plant sources in different regions in Thailand,Meemongkolkiat T.,Chulalongkorn University (Thailand),2,Taylor and Francis Ltd.,2024
Spinal displacement during thoracic manipulative therapy in mechanical neck pain patients: an observational study,Niamsuwan P.,Chulalongkorn University (Thailand),0,Taylor and Francis Ltd.,2024
Prevalence and Impact of Obesity in a Population-Based Cohort of Patients With Crohn's Disease,Johnson A.M.,Mayo Clinic (United States),2,Lippincott Williams and Wilkins,2024
Retirement Saving Over the Life Cycle: Evidence from a Developing Country,Muthitacharoen A.,Chulalongkorn University (Thailand),1,Routledge,2024
Numerical investigation on impact of excavations in influence zone of existing MRT tunnels,Muenpetch N.,Chulalongkorn University (Thailand),5,Taylor and Francis Ltd.,2024
Reliability and minimal detectable change of nonlinear analysis measure of postural control in older adults with mild cognitive impairment,Thammachat K.,Chulalongkorn University (Thailand),2,Elsevier B.V.,2024
Potent nitric oxide inhibitory sesquiterpenoids from the rhizome of Curcuma aromatica Salisb.,Pabuprapap W.,Ramkhamhaeng University (Thailand),0,Taylor and Francis Ltd.,2024
"Effects of Marketing Mix Factors on Customer’s Decision to Purchase Community-Made Fermented Soil: A Survey in the Eastern Peri-Urban Area of Bangkok, Thailand",Fakkhong S.,Phranakhon Si Ayutthaya Rajabhat University (Thailand),1,"Greater Mekong Subregion Academic and Research Network, Asian Institute of Technology",2024
Hospital design principles implementation: Reflections from practitioners in Thailand,Viryasiri T.,Chulalongkorn University (Thailand),0,Taylor and Francis Ltd.,2024
Poisson approximation for the expectation of call function with application in collateralized debt obligation,Yonghint N.,Chulalongkorn University (Thailand),2,Taylor and Francis Ltd.,2024
"Assessment of Traffic-Induced Ground Vibrations and Effects on Masonry Monuments in Ayutthaya Historical Park, Thailand",Poovarodom N.,Thammasat University (Thailand),3,Taylor and Francis Ltd.,2024
"Online physics laboratory course: United Kingdom Professional Standards Framework perspective from Walailak University, Thailand",Dam-O P.,Walailak University (Thailand),1,Routledge,2024
Elucidation of bezlotoxumab binding specificity to toxin B in Clostridioides difficile,Karnchanapandh K.,Chulalongkorn University (Thailand),0,Taylor and Francis Ltd.,2024
The local limit theorem for general weighted sums of Bernoulli random variables,Kammoo P.,Chulalongkorn University (Thailand),1,Taylor and Francis Ltd.,2024
Development of a certification system and core competencies for professional ergonomists in Thailand,Neubert M.S.,Chulalongkorn University (Thailand); Nephrology Society of Thailand (Thailand),0,Taylor and Francis Ltd.,2024
Time Is on Our Side?: Homo Economicus in Time-Travel Romance,Rattanamathuwong B.,Chulalongkorn University (Thailand),0,Routledge,2024
Perceived competencies and concerns of Thai general and special education teachers towards the behaviour problems of their students,Amornpaisarnloet W.,Chulalongkorn University (Thailand),1,Routledge,2024
Determinants of goodwill and its impact on post-merger and acquisition performance in Thailand: a firm-level analysis,Poramapojn P.,Chulalongkorn University (Thailand),0,Routledge,2024
Playing Techniques of New Pieces of Koto Music in Japanese Urban Culture,Pornprasit K.,Chulalongkorn University (Thailand),1,"Chulalongkorn University, Faculty of Fine and Applied Arts",2024
"Diorygmones A-B, two new guaiane-sesquiterpenes from the cultured lichen mycobiont of Diorygma sp.",Nguyen H.H.,Van Lang University (Viet Nam),3,Taylor and Francis Ltd.,2024
Cultural specificity of time perspective: Development and construct validation of the Thai Zimbardo Time Perspective Inventory (TH-ZTPI),Siu Y.F.N.,Hong Kong University of Science and Technology (Hong Kong),1,Springer,2024
Psychological flexibility prospectively predicts COVID-19 PPE use across a two-month interval,H. O’Brien W.,Bowling Green State University (United States),1,Routledge,2024
"Sustainable bio-based antimicrobials derived from fatty acids: Synthesis, safety, and efficacy",Ryu V.,USDA ARS Eastern Regional Research Center (United States),5,Taylor and Francis Ltd.,2024
Total Quality and Innovation Management in Healthcare (TQIM-H) for Performance and Sustainability,Tonjang S.,Chulalongkorn University (Thailand),1,Institute of Electrical and Electronics Engineers Inc.,2024
Polydiacetylene rhodamine-based colorimetric chemosensor for Au<sup>3+</sup> detection,Kaewtong C.,Mahasarakham University (Thailand),0,Taylor and Francis Ltd.,2024
A new furanonapthoquinone from the stems of Thunbergia laurifolia,Nguyen A.K.,Chulalongkorn University (Thailand),0,Taylor and Francis Ltd.,2024
The alteration of static and dynamic postural stability among women with breast cancer during taxane-based chemotherapy: a descriptive study,Rattanakrong N.,Chulalongkorn University (Thailand); Physical Therapy Unit (Thailand),0,Taylor and Francis Ltd.,2024
Green behavior at work of hospitality and tourism employees: evidence from IGSCA-SEM and fsQCA,Manosuthi N.,Chulalongkorn University (Thailand),33,Routledge,2024
A new neolignan and a new phenolic acid from the heartwood of Mansonia gagei J.R. Drumm,Le H.T.T.,Chulalongkorn University (Thailand),2,Taylor and Francis Ltd.,2024
Locking-free isogeometric Timoshenko–Ehrenfest beam formulations for geometrically nonlinear analysis of planar beam structures,Vo D.,Chulalongkorn University (Thailand),4,Taylor and Francis Ltd.,2024
Construction of a short version of the Montreal Cognitive Assessment (MoCA) rating scale for the Thai population using Partial Least Squares analysis,Hemrungrojn S.,"Faculty of Medicine, Chulalongkorn University (Thailand)",0,Taylor and Francis Ltd.,2024
Masticatory muscle activity and oral health-related quality of life in patients wearing clear thermoplastic versus wrap-around retainers: A randomized controlled trial,Jirawiwatsaree R.,Chulalongkorn University (Thailand),2,Springer Medizin,2024
Mechanical Needling With Sterile Water Versus Lidocaine Injection for Lumbar Spinal Stenosis,Suputtitada A.,"Faculty of Medicine, Chulalongkorn University (Thailand)",5,SAGE Publications Ltd,2024
Selective solid-phase extraction of atrazine from agricultural environmental water samples using high permeability nanoporous carbon derived from melamine-based polybenzoxazine followed by HPLC-UV,Prukjareonchook A.,Chulalongkorn University (Thailand),3,Taylor and Francis Ltd.,2024
Regional convergence and spatial dependence in Thailand: global and local assessments,Tipayalai K.,Chulalongkorn University (Thailand),5,Routledge,2024
Resource reconfiguration by surviving SMEs in a disrupted industry,Thomas G.H.,QUT Business School (Australia),15,Taylor and Francis Ltd.,2024
Placement accuracy of the second electrode in bilateral deep brain stimulation surgery,Bunyaratavej K.,"Faculty of Medicine, Chulalongkorn University (Thailand)",0,Taylor and Francis Ltd.,2024
"Prevalence, awareness, and management of bruxism in Thai dental students: A cross-sectional study",Uma U.,Chulalongkorn University (Thailand),1,Taylor and Francis Ltd.,2024
Impact of a Novel Multicomponent Nutrition Program on Diet Consumption among Preschool Children,Suwimol S.,Chulalongkorn University (Thailand),2,Routledge,2024
"Cognitive function, co-residence, and social participation among older persons in Thailand",Pothisiri W.,Chulalongkorn University (Thailand),7,Taylor and Francis Ltd.,2024
Accuracy Verification of a Smartphone-Based PPK GNSS Surveying Technique and Earth Volume Determinations,Tantrakul N.,Chulalongkorn University (Thailand),0,"Chulalongkorn University, Faculty of Fine and Applied Arts",2023
Prediction of the Mechanical Behaviour of HDPE Pipes Using the Artificial Neural Network Technique,Srii I.,Hassan II University of Casablanca (Morocco); Technical Center of Plastics and Rubber (CTPC) (Morocco),6,"Chulalongkorn University, Faculty of Fine and Applied Arts",2023
Note on Fourier Transform of Hidden Variable Fractal Interpolation,Agathiyan A.,Vellore Institute of Technology (India),0,"Chulalongkorn University, Faculty of Fine and Applied Arts",2023
Optimization of rapid self-healing and self-adhesive gluten/guar gum crosslinked gel for strain sensors and electronic devices,Jaroenthai N.,Khon Kaen University (Thailand),2,Elsevier B.V.,2023
Fabrication of a colorimetric film based on bacterial cellulose/metal coordination framework composite for monitoring food spoilage gas,Techasamran M.,Chulalongkorn University (Thailand),8,Elsevier B.V.,2023
Bacterial cellulose composite hydrogel for pre-concentration and mass spectrometric detection of thiol-containing biomarker,Lormaneenopparat P.,Chulalongkorn University (Thailand),1,Elsevier B.V.,2023
Graphene oxide-alginate hydrogel-based indicator displacement assay integrated with diaper for non-invasive Alzheimer's disease screening,Boobphahom S.,"Metallurgy and Materials Research Institute Chulalongkorn University (Thailand); Institute of Molecular Biosciences, Mahidol University (Thailand)",6,Elsevier B.V.,2023
"Environmental factors influencing the distribution of fecal coliform bacteria in Bandon Bay, Thailand",Chinfak N.,State Key Laboratory of Estuarine and Coastal Research (China),2,Elsevier B.V.,2023
Machine Learning-Based Predictive Model of Aortic Valve Replacement Modality Selection in Severe Aortic Stenosis Patients,Chokesuwattanaskul R.,"King Chulalongkorn Memorial Hospital (Thailand); Faculty of Medicine, Chulalongkorn University (Thailand)",1,No Publisher,2023
Probing Small Bjorken-x Nuclear Gluonic Structure via Coherent J=ψ Photoproduction in Ultraperipheral Pb-Pb Collisions at √s<inf>NN</inf> = 5.02 TeV,Tumasyan A.,Yerevan Physics Institute (Armenia); Yerevan State University (Armenia),10,American Physical Society,2023
Digital Dentistry: Transformation of Oral Health and Dental Education with Technology,Khurshid Z.,King Faisal University (Saudi Arabia); Chulalongkorn University (Thailand),8,Georg Thieme Verlag,2023
Artificial Intelligence-Based Diagnosis of Oral Lichen Planus Using Deep Convolutional Neural Networks,Achararit P.,Chulabhorn Royal Academy (Thailand),10,Georg Thieme Verlag,2023
Surface Roughness and Hardness of CAD/CAM Ceramic Materials after Polishing with a Multipurpose Polishing Kit: An in Vitro Study,Limpuangthip N.,Chulalongkorn University (Thailand),6,Georg Thieme Verlag,2023
Characterization of L-(+)-Lactic Acid Producing Weizmannia coagulans Strains from Tree Barks and Probiogenomic Evaluation of BKMTCR2-2,Mahittikon J.,Chulalongkorn University (Thailand),0,Korean Society for Microbiolog and Biotechnology,2023
Parasitoid Wasps of South East Asia,Butcher B.A.,Chulalongkorn University (Thailand),5,CABI International,2023
"Fluoride Concentration, Antibacterial Effect, and Cytotoxicity in Children's Toothpaste: In Vitro Study",Thongthai P.,Chulalongkorn University (Thailand),1,"Thieme Medical Publishers, Inc.",2023
Role of Artificial Intelligence in Oral Diagnosis and Dental Treatment,Dashti M.,SBUMS School of Dentistry (Iran),4,"Thieme Medical Publishers, Inc.",2023
Nano-tablets and rods-shaped Fe and Ni oxide/hydroxide encapsulated graphene for asymmetric supercapacitor and OER applications,Govindarajan D.,Chulalongkorn University (Thailand),5,Elsevier Ltd,2023
Polyelectrolyte complex membranes as a selective zincate separator for secondary zinc-air battery,Arif M.B.,Chulalongkorn University (Thailand),9,Elsevier Ltd,2023
"High entropy materials frontier and theoretical insights for logistics CO<inf>2</inf> reduction and hydrogenation: Electrocatalysis, photocatalysis and thermo-catalysis",Shaikh J.S.,Chulalongkorn University (Thailand),16,Elsevier Ltd,2023
Microwave assisted green synthesis of Ag doped CuO NPs anchored on GO-sheets for high performance photocatalytic and antimicrobial applications,Mariadhas J.,"The American College, Madurai (India)",11,Korean Society of Industrial Engineering Chemistry,2023
Revision of the fern genus Diplazium (Polypodiales: Athyriaceae) in Thailand,Pongkai P.,National Science Museum (Thailand),0,Magnolia Press,2023
Endonasal thermal imaging in the assessment of nasal obstruction and airflow,Seresirikachorn K.,"The Faculty of Medicine, Health and Human Sciences (Australia); UNSW Sydney (Australia); King Chulalongkorn Memorial Hospital (Thailand); Faculty of Medicine, Chulalongkorn University (Thailand)",2,AME Publishing Company,2023
NiS<inf>2</inf> nanoparticles decorated hierarchical porous carbon for high-performance lithium-selenium batteries,Li J.,University of Electronic Science and Technology of China (China),7,Elsevier Ltd,2023
Tackling Parkinson's Disease as a Global Challenge,Bhidayasiri R.,King Chulalongkorn Memorial Hospital (Thailand); Academy of Science (Thailand),4,IOS Press BV,2023
"Global Burden of Cardiovascular Diseases and Risks, 1990-2022",Mensah G.A.,National Institutes of Health (NIH) (United States); University of Cape Town (South Africa),239,Elsevier Inc.,2023
"Ligand-based, piggyBac-engineered CAR-T cells targeting EGFR are safe and effective against non-small cell lung cancers",Chinsuwan T.,"Faculty of Medicine, Chulalongkorn University (Thailand); Shinshu University Faculty of Medicine (Japan)",2,Cell Press,2023
"In Situ Generated, Tetracoordinated Copper(II)-Quinoline Complexes as Photocatalysts for the Chlorosulfonylation of Alkenes and Alkynes",Chaibuth P.,Universität Regensburg (Germany); Chulalongkorn University (Thailand),4,John Wiley and Sons Inc,2023
Development of NIR light-responsive shape memory composites based on bio-benzoxazine/bio-urethane copolymers reinforced with graphene,Jamnongpak W.,Chulalongkorn University (Thailand),5,Royal Society of Chemistry,2023
Enhancing Physicochemical Properties and Biocompatibility of Hollow Porous Iron Oxide Nanoparticles through Polymer-Based Surface Modifications,Malabanan J.W.T.,Chulalongkorn University (Thailand),4,American Chemical Society,2023
Register-based census in Thailand: A case study in Chachoengsao province,Charoenruk N.,Chulalongkorn Business School (Thailand),0,IOS Press BV,2023
Evaluating Quality Management and Diagnostics Microbiology Performance Within an International External Quality Assessment (EQA) Program Serving National One Health Sector Reference Laboratories Across Asia: Experience Amid the Coronavirus Disease 2019 (COVID-19) Pandemic,Abegaz F.A.,"International Vaccine Institute, Seoul (South Korea)",1,Oxford University Press,2023
Novel Therapeutic Approaches in Treatment of Acute-on-Chronic Liver Failure,Saeidinejad M.M.,University College London (United Kingdom),1,"Thieme Medical Publishers, Inc.",2023
Porous Alginate Microcapsule-Containing Sweet Basil Oil (Ocimum basilicum) Generated by Gas Foaming with Ionic Gelation as an Efficient Antioxidant Delivery in Stimulated Poultry Gastrointestinal Tract,Thuekeaw S.,Maejo University (Thailand),1,American Chemical Society,2023
Synthesis of Cyclodextrin-Grafted Chitosan: From Laboratory Scale to Pilot Scale,Paiboon N.,Chulalongkorn University (Thailand); King Mongkut's Institute of Technology Ladkrabang (Thailand),1,American Chemical Society,2023
